,transport_ngf,transport_nt3,BUD13,CSTF2T,DDX24,DDX3X,DDX55,EFTUD2,EIF4G2,FMR1,FXR2,GRWD1,IGF2BP2,METAP2,MTPAP,PPIG,PPIL4,PRPF8,PTBP1,RBM15,SF3B4,SLTM,SMNDC1,SRSF1,SRSF7,SRSF9,SUB1,TDP43,TRA2A,U2AF1,UCHL5,XRN2,ZNF622,ZRANB2,CELF2,CELF4,EIF4E,FUBP3,HNRNPC,HUR,KHDRBS1,KHSRP,PUM2,TIA1,TIAL1,SMB
ENSRNOT00000019224.2,0.605373235727791,0.577410160148518,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
ENSRNOT00000013869.2,0.543330370576242,0.580374639112257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSRNOT00000015043.4,-0.509058794643213,-0.787812395596042,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
ENSRNOT00000073652.2,1.22548303427145,1.54668165995296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOT00000072056.2,0.709297756712146,0.679023322657176,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
ENSRNOT00000024378.1,0.554240163511369,0.681936665037238,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
ENSRNOT00000062031.3,0.490259984429618,0.35222594973117,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
ENSRNOT00000008154.1,-0.375924268854317,-0.527975302299719,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
ENSRNOT00000073231.4,-0.634137784597445,-0.856048883576036,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
ENSRNOT00000070805.3,0.960585880823863,1.18177410638604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
